before,after,ratio_bf,ratio_real
10,7,0.3,0.10724638
10,7,0.3,0.1023622
10,7,0.3,0.0886918
10,7,0.3,0.056
8,7,0.125,0.25
10,7,0.3,0.19411765
9,7,0.2222222222222222,0.12903226
6,6,0.0,0.11463415
7,7,0.0,0.33333333
6,6,0.0,0.07387863
6,6,0.0,0.23762376
10,8,0.2,0.32307692
10,7,0.3,0.19047619
10,7,0.3,0.27586207
6,6,0.0,0.12537313
10,7,0.3,0.16
10,7,0.3,0.13442623
9,7,0.2222222222222222,0.19886364
6,6,0.0,0.20987654
8,7,0.125,0.07832423
10,8,0.2,0.17241379
6,6,0.0,0.15277778
9,7,0.2222222222222222,0.10810811
7,6,0.14285714285714285,0.12734082
10,7,0.3,0.09064327
10,7,0.3,0.10688836
10,7,0.3,0.2122905
10,7,0.3,0.15151515
10,7,0.3,0.21052632
7,6,0.14285714285714285,0.1474359
10,7,0.3,0.18181818
6,6,0.0,0.13888889
10,7,0.3,0.06786704
6,6,0.0,0.14746544
9,7,0.2222222222222222,0.23076923
10,7,0.3,0.07058824
10,7,0.3,0.16666667
10,7,0.3,0.08715596
10,7,0.3,0.22018349
6,6,0.0,0.10650888
10,7,0.3,0.13492063
10,7,0.3,0.25454545
10,7,0.3,0.14012739
10,7,0.3,0.08415842
10,7,0.3,0.08280255
10,8,0.2,0.33962264
10,7,0.3,0.16129032
10,7,0.3,0.12075472
6,6,0.0,0.21794872
6,6,0.0,0.23913043
7,7,0.0,0.11032028
10,7,0.3,0.18292683
10,7,0.3,0.23655914
7,6,0.14285714285714285,0.07244094
7,6,0.14285714285714285,0.19333333
7,6,0.14285714285714285,0.296875
10,8,0.2,0.15625
10,7,0.3,0.14545455
10,8,0.2,0.46511628
10,7,0.3,0.04496403
9,7,0.2222222222222222,0.16666667
6,6,0.0,0.17621145
10,7,0.3,0.17708333
10,8,0.2,0.09876543
6,6,0.0,0.4
10,7,0.3,0.21875
8,7,0.125,0.09939759
10,8,0.2,0.35135135
10,7,0.3,0.06425703
10,7,0.3,0.08180301
9,7,0.2222222222222222,0.36538462
10,7,0.3,0.10447761
10,8,0.2,0.25
10,7,0.3,0.08823529
7,7,0.0,0.12903226
6,6,0.0,0.22413793
10,8,0.2,0.37209302
10,7,0.3,0.15151515
10,7,0.3,0.21848739
10,7,0.3,0.09779951
10,7,0.3,0.16981132
10,7,0.3,0.1796875
9,7,0.2222222222222222,0.12386707
10,8,0.2,0.38
7,6,0.14285714285714285,0.08865248
10,8,0.2,0.27160494
7,6,0.14285714285714285,0.08881579
10,7,0.3,0.04994797
10,8,0.2,0.24074074
7,7,0.0,0.075
10,7,0.3,0.17333333
7,6,0.14285714285714285,0.07692308
10,7,0.3,0.1595092
6,6,0.0,0.35714286
10,7,0.3,0.0721393
10,8,0.2,0.27906977
9,7,0.2222222222222222,0.17857143
10,7,0.3,0.18269231
10,7,0.3,0.09830508
6,6,0.0,0.25
7,7,0.0,0.11890244
10,7,0.3,0.05909091
9,7,0.2222222222222222,0.24038462
9,7,0.2222222222222222,0.056
6,6,0.0,0.29032258
10,7,0.3,0.12903226
9,7,0.2222222222222222,0.22727273
10,7,0.3,0.11111111
10,7,0.3,0.19047619
10,7,0.3,0.16
10,7,0.3,0.11794872
10,7,0.3,0.07092199
10,7,0.3,0.36923077
9,7,0.2222222222222222,0.20987654
7,6,0.14285714285714285,0.06451613
10,7,0.3,0.10810811
10,8,0.2,0.22727273
10,7,0.3,0.05
10,8,0.2,0.24324324
9,7,0.2222222222222222,0.13888889
10,7,0.3,0.35294118
